,Data point indexes,Forecast data points(Â°C)
0,22.9,22.9
1,26.6898,26.6898
2,26.8917,26.8917
3,27.6611,27.6611
4,27.3862,27.3862
5,27.1006,27.1006
6,26.9135,26.9135
7,26.9221,26.9221
8,26.9823,26.9823
9,27.0356,27.0356
10,27.0473,27.0473
11,26.102,26.102
12,27.8308,27.8308
13,28.7811,28.7811
14,28.7194,28.7194
15,27.9294,27.9294
16,26.6249,26.6249
17,25.6287,25.6287
18,25.4213,25.4213
19,26.0648,26.0648
20,27.1488,27.1488
21,25.866,25.866
22,26.2733,26.2733
23,27.5782,27.5782
24,27.6807,27.6807
25,26.521,26.521
26,27.3419,27.3419
27,27.7157,27.7157
28,27.1328,27.1328
29,26.9101,26.9101
30,27.4797,27.4797
31,28.574,28.574
32,27.572,27.572
33,28.3076,28.3076
34,28.8954,28.8954
35,30.0347,30.0347
36,29.6279,29.6279
37,29.072,29.072
38,27.9756,27.9756
39,28.2233,28.2233
40,28.7348,28.7348
41,30.7682,30.7682
42,31.1482,31.1482
43,31.7477,31.7477
44,31.2991,31.2991
45,32.1331,32.1331
46,31.9353,31.9353
47,31.7501,31.7501
48,32.4099,32.4099
49,31.7502,31.7502
50,32.1344,32.1344
51,26.6739,26.6739
52,26.6412,26.6412
53,26.2222,26.2222
54,26.024,26.024
55,26.127,26.127
56,26.3537,26.3537
57,26.5819,26.5819
58,26.6779,26.6779
59,26.6503,26.6503
60,26.5381,26.5381
61,23.726,23.726
62,23.9754,23.9754
63,24.2955,24.2955
64,22.9552,22.9552
65,23.3746,23.3746
66,24.56,24.56
67,23.5168,23.5168
68,23.1069,23.1069
69,24.5113,24.5113
70,24.149,24.149
71,27.0236,27.0236
72,27.9947,27.9947
73,28.3222,28.3222
74,27.9782,27.9782
75,27.0876,27.0876
76,26.3207,26.3207
77,26.1301,26.1301
78,26.6217,26.6217
79,27.4585,27.4585
80,28.1013,28.1013
81,26.5001,26.5001
82,26.8906,26.8906
83,28.1686,28.1686
84,28.8406,28.8406
85,28.7411,28.7411
86,27.9233,27.9233
87,26.857,26.857
88,26.1467,26.1467
89,26.2008,26.2008
90,26.985,26.985
91,25.7916,25.7916
92,23.8486,23.8486
93,23.2087,23.2087
94,24.1284,24.1284
95,22.8132,22.8132
96,23.0244,23.0244
97,23.1891,23.1891
98,22.657,22.657
99,22.9094,22.9094
100,22.8477,22.8477
101,23.1536,23.1536
102,21.6619,21.6619
103,20.3164,20.3164
104,20.0374,20.0374
105,20.734,20.734
106,21.6465,21.6465
107,22.2854,22.2854
108,22.4754,22.4754
109,22.2997,22.2997
110,21.967,21.967
111,21.9827,21.9827
112,21.7627,21.7627
113,21.7078,21.7078
114,21.5444,21.5444
115,21.673,21.673
116,21.7689,21.7689
117,21.8477,21.8477
118,21.8712,21.8712
119,21.8431,21.8431
120,21.7837,21.7837
